tweet_translated_tokenized,sentiment,NB_Negativo,NB_Positivo,SVM_Negativo,SVM_Positivo,DF_Negativo,DF_Positivo,MaxEnt_Negativo,MaxEnt_Positivo
"['read', 'listen', 'today', 'things', 'like', 'prisoners', 'human', 'rights', 'example', 'nayibbukele', 'throwing', 'away', 'many', 'years', 'efforts', 'sacrifices', 'studies', 'advances', 'fortunately', 'minority', 'wisdom', 'humanity', 'prevail', 'ddhh']",Positivo,0.2930042302529367,0.7069957697470625,0.32064463428810164,0.6793553657118984,0.0,1.0,0.3036502034699624,0.6963497965300376
"['minister', 'prison', 'service', 'irisvarela', 'announces', 'review', 'files', 'deprived', 'liberty', 'guanare', 'prison', 'order', 'take', 'measures', 'result', 'events', 'recently', 'occurred']",Negativo,0.3115452763361761,0.6884547236638232,0.3468866736118147,0.6531133263881854,1.0,0.0,0.3055422796004792,0.6944577203995208
"['fidelrodv', 'edurodriguezg', 'marypilih', 'onipvenezuela', 'madeinprisoncol', 'jmvivancohrw', 'unhumanrights', 'dsmilde', 'ventanalibertad', 'certainly', 'life', 'cannot', 'returned', 'investigations', 'carried', 'first', 'punish', 'responsible', 'compensate', 'family', 'members', 'correct', 'promptly', 'evils', 'disturb', 'operation', 'prison', 'overcrowding']",Negativo,0.455750266809879,0.54424973319012,0.4533803220671005,0.5466196779328996,1.0,0.0,0.33579131329001854,0.6642086867099815
"['read', 'although', 'country', 'sights', 'set', 'facts', 'bag', 'important', 'forget', 'happened', 'guanare', 'prison', 'victims', 'families', 'must', 'compensated', 'rights', 'justice', 'must', 'accompany', 'leave', 'part', 'penitentiary', 'organic', 'code']",Negativo,0.2363278460061269,0.7636721539938729,0.2340615843727717,0.7659384156272283,0.0,1.0,0.27597434328790726,0.7240256567120927
"['purpose', 'unfortunate', 'event', 'occurred', 'guanare', 'prison', 'need', 'get', 'tune', 'prison', 'system']",Negativo,0.4153672902282797,0.5846327097717218,0.5319297433926492,0.4680702566073507,1.0,0.0,0.35457255779204555,0.6454274422079544
"['goes', 'organization', 'onipvenezuela', 'advancing', 'awareness', 'campaign', 'prisons', 'relationship', 'society', 'importance', 'edurodriguezg', 'unrightslive', 'unoticias', 'cnietopalma', 'cdh', 'ucab', 'larrydevoe']",Positivo,0.450167614588076,0.5498323854119233,0.5217576337167117,0.4782423662832882,1.0,0.0,0.35027181560769727,0.6497281843923027
"['fidelrodv', 'open', 'prisons', 'like', 'guanare', 'reason', 'possible', 'implement', 'new', 'regime', 'controls', 'less', 'forms', 'organization', 'come', 'prison', 'population', 'imposed']",Negativo,0.3963727867164443,0.6036272132835574,0.4550512517109997,0.5449487482890004,1.0,0.0,0.33533819845733515,0.6646618015426649
"['fidelrodv', 'currently', 'venezuela', 'forms', 'know', 'penitentiary', 'regime', 'one', 'new', 'regime', 'one', 'see', 'deprived', 'liberty', 'wear', 'uniforms', 'make', 'closed', 'order', 'visits', 'level', 'control', 'among', 'things']",Positivo,0.2170251449772657,0.7829748550227341,0.19678835267349404,0.803211647326506,0.0,1.0,0.26050690493170514,0.7394930950682949
"['noted', 'guanare', 'prison', 'one', 'centers', 'open', 'work', 'new', 'regime']",Negativo,0.2732372032290762,0.7267627967709249,0.33783388520333457,0.6621661147966654,0.0,1.0,0.30763614136554585,0.6923638586344542
"['jmvivancohrw', 'president', 'nayibbukele', 'easily', 'throws', 'abyss', 'years', 'study', 'research', 'effort', 'progress', 'prison', 'matters', 'regrettable', 'today', 'archaic', 'thoughts', 'continue', 'appear', 'leaders', 'america']",Negativo,0.3781688062182337,0.6218311937817654,0.4256901563548004,0.5743098436451994,1.0,0.0,0.3264197942100211,0.6735802057899789
