tweet_tokenized_translated,sentimiento,NB_Felicidad,NB_Ira,NB_Miedo,NB_Tristeza,SVM_Felicidad,SVM_Ira,SVM_Miedo,SVM_Tristeza,DT_Felicidad,DT_Ira,DT_Miedo,DT_Tristeza,MaxEnt_Felicidad,MaxEnt_Ira,MaxEnt_Miedo,MaxEnt_Tristeza
,miedo,0.2032488031718583,0.2056001158545492,0.3934572545106457,0.1976938264629454,0.0547718621418704,0.0494828186946132,0.8331838924061786,0.0625614267573374,0.0,0.0,1.0,0.0,0.17739021945908157,0.17145686642142957,0.49474586729495246,0.15640704682453635
,ira,0.1323649430369018,0.4007503191509396,0.1744877714778888,0.2923969663342683,0.0251760124687914,0.6322665416582759,0.0556931170100759,0.2868643288628567,0.0,0.0,0.0,1.0,0.12584305275318958,0.3381252032791383,0.170090154210526,0.3659415897571461
,ira,0.190293376492303,0.3771592945066211,0.2484349792380766,0.1841123497629999,0.0307514727438419,0.8704044527699949,0.0606540113345303,0.0381900631516328,0.0,1.0,0.0,0.0,0.16751549234599514,0.45160520300997103,0.23286702019111083,0.14801228445292297
,felicidad,0.5493745348672168,0.1506928285059036,0.1413894018943696,0.1585432347325092,0.9980843849829316,0.0006613201646357,0.0002149019171754,0.0010393929352571,1.0,0.0,0.0,0.0,0.6191252763090868,0.1296107336037613,0.13179250855763885,0.11947148152951288
,ira,0.123417038609251,0.5564635951642714,0.1920374384138612,0.1280819278126168,3.1072463273480726e-06,0.9989047484662767,4.48503852690676e-05,0.0010472939021265,0.0,1.0,0.0,0.0,0.06136541062234088,0.7997989947939345,0.07640837348841978,0.062427221095304804
,felicidad,0.3012308603892445,0.2494167371165392,0.2421041796455842,0.2072482228486314,0.5814834528965792,0.2989900328226746,0.0676093140447331,0.051917200236013,1.0,0.0,0.0,0.0,0.39135386493586255,0.2564104703576445,0.18610422077373445,0.16613144393275836
,tristeza,0.1621988733105208,0.2162683770445579,0.2377489782564061,0.3837837713885159,0.0627101862553744,0.2241288542955441,0.0202619524477136,0.6928990070013678,1.0,0.0,0.0,0.0,0.17196679656967948,0.26901857190684636,0.16155851471167101,0.39745611681180315
,felicidad,0.3526990827000219,0.2062369492614438,0.220699667844434,0.2203643001940994,0.4925539883572287,0.1359193102295178,0.2012530608831898,0.1702736405300632,0.0,0.0,1.0,0.0,0.30535088513770514,0.22289173095694154,0.248654274737066,0.22310310916828738
,miedo,0.2597419047566314,0.2202509218573461,0.2864360173914451,0.2335711559945801,0.2135463303243508,0.2003801622799464,0.3922400857330292,0.1938334216626734,0.0,0.0,1.0,0.0,0.2215249663781875,0.22351586538997523,0.33930149441006324,0.21565767382177412
,felicidad,0.526755116020917,0.1132579856438331,0.190561104789874,0.169425793545375,0.97074892944006,0.0127039342236755,0.0086450267266944,0.0079021096095701,0.0,0.0,1.0,0.0,0.6950283951503212,0.08839302220757714,0.11577867769979357,0.10079990494230814
,miedo,0.2301134340437316,0.2061648548619011,0.323201645184868,0.2405200659094989,0.1137016448505625,0.1034078460696855,0.674661923177071,0.1082285859026806,0.0,0.0,1.0,0.0,0.23010832601260373,0.22473681263808917,0.34430181287072575,0.20085304847858138
,felicidad,0.3050356344938225,0.2546843031803016,0.2209229129802701,0.2193571493456042,0.8295866110957952,0.0733167257082271,0.0502333822624522,0.0468632809335258,1.0,0.0,0.0,0.0,0.3139332432016035,0.25138577785249605,0.23899254358902672,0.19568843535687389
,tristeza,0.2048619767825789,0.1680437061324392,0.3226442047851905,0.3044501122997917,0.200697246246088,0.0601797129490461,0.1016839604976954,0.6374390803071707,0.0,0.0,0.0,1.0,0.2038381598866049,0.1509993448714295,0.23110180992067414,0.4140606853212915
,felicidad,0.2981853879463763,0.1601894030863457,0.319216144445162,0.2224090645221194,0.762700911952982,0.0252474632138746,0.1654861441474801,0.0465654806856632,1.0,0.0,0.0,0.0,0.3609212614865086,0.1614481079418825,0.3095244797708742,0.16810615080073465
,felicidad,0.3548721323363065,0.1420761569448294,0.2237491141585682,0.2793025965602966,0.8221564787764217,0.0114744542647641,0.0070264145451789,0.1593426524136352,1.0,0.0,0.0,0.0,0.4310200692850335,0.13474167736974152,0.15256524182041215,0.2816730115248129
,felicidad,0.3158157844318058,0.2049113832114941,0.2598617636471363,0.2194110687095649,0.570946051121017,0.1085052685223422,0.2312322104142034,0.0893164699424374,1.0,0.0,0.0,0.0,0.2917646468205627,0.20608034685987942,0.31570142443021937,0.18645358188933864
,tristeza,0.251058986070053,0.206853917450562,0.2390671325458907,0.3030199639334922,0.1421138807158881,0.1378533182277289,0.1776349575006726,0.5423978435557102,0.0,0.0,0.0,1.0,0.23388453319479224,0.21772575269929795,0.25646690597163835,0.2919228081342715
,felicidad,0.3697143466678405,0.0640493123802729,0.138686518275218,0.4275498226766694,0.3694857334036079,0.0044519793168139,0.0145754819381785,0.6114868053413997,0.0,0.0,0.0,1.0,0.3743454720820571,0.07094746651187493,0.14250632008997516,0.41220074131609274
,miedo,0.1060170072759639,0.1379301606253546,0.5366167970715744,0.2194360350271076,0.0014292260085557,0.0050656826759809,0.9725574264252635,0.0209476648901998,0.0,0.0,1.0,0.0,0.10569306740457092,0.12244200412540254,0.612516048454389,0.15934888001563768
,ira,0.2856934641513654,0.1560479210108067,0.1831280655459286,0.3751305492918979,0.2945485756075052,0.0196840337283969,0.0338213104419099,0.6519460802221878,0.0,0.0,0.0,1.0,0.31414281907200065,0.1431596774940717,0.17914031893541027,0.3635571844985175
,felicidad,0.5508472885793725,0.0926289142182504,0.1995820118775546,0.1569417853248227,0.998652485707936,0.0001671654086668,0.0006306780511739,0.0005496708322231,1.0,0.0,0.0,0.0,0.7357837105347402,0.044424319161776145,0.1435633476592037,0.07622862264427988
,ira,0.168220384717027,0.3191151507261872,0.1951985706231402,0.317465893933644,0.0187565986551553,0.6614821658878955,0.045012785602155,0.2747484498547941,0.0,1.0,0.0,0.0,0.1039815498756799,0.479190406692178,0.1625736839540905,0.2542543594780516
,tristeza,0.2405390833275716,0.2220945187362712,0.215373465416938,0.3219929325192189,0.1576964770678869,0.1214892233738421,0.0618976408426429,0.658916658715628,0.0,0.0,0.0,1.0,0.22799234264992313,0.20492181952340258,0.17256234889109298,0.39452348893558126
,miedo,0.1577333851176496,0.2490058660832124,0.4265548025407029,0.1667059462584362,0.0083937644704571,0.0351011840795267,0.9376022888912814,0.0189027625587346,0.0,0.0,1.0,0.0,0.16038382449519856,0.24283976598851534,0.446501870104886,0.15027453941140015
,felicidad,0.479647741674954,0.1382692798810698,0.2242094308916937,0.1578735475522834,0.9911981260349348,0.0006612663132777,0.0063578724032506,0.0017827352485367,1.0,0.0,0.0,0.0,0.46573297562537813,0.15227477152341407,0.23877014432101104,0.14322210853019685
,miedo,0.1523634618407414,0.1139236848231991,0.533068386203436,0.2006444671326218,0.0134264713694393,0.005653916360697,0.956796644391104,0.0241229678787597,0.0,0.0,1.0,0.0,0.11579138868812011,0.10804070957000472,0.647429448882329,0.12873845285954613
,felicidad,0.4998374866416068,0.1182567352030556,0.1479440558962198,0.2339617222591182,0.9936774776698022,0.0003029879754596,0.0002137265396242,0.0058058078151137,1.0,0.0,0.0,0.0,0.5541502572139041,0.11984964059302206,0.14147854651629113,0.18452155567678277
,felicidad,0.2824242773775701,0.2212009120226508,0.2926348388148436,0.2037399717849365,0.6481896975038942,0.1419938514595267,0.1336579054560803,0.0761585455804987,1.0,0.0,0.0,0.0,0.31233878453114017,0.21472109468260453,0.289341403464921,0.18359871732133437
,felicidad,0.3012159454055291,0.2033530795582885,0.19621149942187,0.299219475614313,0.6788443663311188,0.062908410934539,0.027181652974688,0.2310655697596543,1.0,0.0,0.0,0.0,0.3477448378608858,0.21697442651113302,0.166438196721651,0.2688425389063301
,miedo,0.1476899599660636,0.1368777114247602,0.5048710694780182,0.2105612591311576,0.0143748952553523,0.0113584012707606,0.9474752899514048,0.026791413522482,0.0,0.0,1.0,0.0,0.1059224260960223,0.09822684960280899,0.6909317092832814,0.10491901501788745
,miedo,0.0645391440847795,0.1323019389210671,0.666083225156864,0.1370756918372868,0.0035794152737085,0.0410271787577406,0.8920458524611414,0.0633475535074097,0.0,1.0,0.0,0.0,0.08329286537181857,0.1738276535186649,0.5777737442886061,0.16510573682091056
,felicidad,0.5050634003088846,0.123740119517137,0.2003219040247088,0.17087457614927,0.9615210603750728,0.0085941563568727,0.0224852855196912,0.0073994977483631,1.0,0.0,0.0,0.0,0.5072031494053019,0.14798913370674233,0.19031056115481182,0.15449715573314401
,tristeza,0.2661273238923906,0.1651843237130487,0.2715139487731879,0.2971744036213721,0.1771195978074341,0.0864102713199138,0.5539901428789571,0.1824799879936946,0.0,0.0,1.0,0.0,0.23201116878344238,0.19067065532326638,0.3238298303505148,0.25348834554277644
,miedo,0.1974813242166593,0.1968608849735,0.4086489201425557,0.1970088706672848,0.0347100646196207,0.027642775432506,0.9100849391167564,0.0275622208311168,0.0,0.0,1.0,0.0,0.17019669035138682,0.16819197523617485,0.5166314258147273,0.1449799085977111
,miedo,0.1171815505805173,0.120857725161187,0.5893459388247029,0.1726147854335924,0.0023562826804516,0.0042746506199676,0.9791671360350738,0.0142019306645071,0.0,0.0,1.0,0.0,0.07648710589086166,0.09168842980444875,0.733584076532598,0.09824038777209144
,felicidad,0.4075215042290159,0.1348994450299831,0.1780556011378774,0.2795234496031225,0.9033612448265752,0.014327383026911,0.0039560143392761,0.0783553578072375,0.0,0.0,0.0,1.0,0.49988472087909247,0.1557921160709515,0.12560514394566616,0.21871801910428987
,ira,0.1751604061592261,0.4041941182200985,0.2403208545150038,0.1803246211056708,0.0101371654924721,0.9502347621908952,0.0214755420202222,0.0181525302964104,0.0,1.0,0.0,0.0,0.1416593139017683,0.5066365090009814,0.22227356416432473,0.12943061293292557
,felicidad,0.5753426058646339,0.1134081963043661,0.1877076060705468,0.1235415917604539,0.9987498883404818,0.0003204609157593,0.0003572463006462,0.0005724044431123,1.0,0.0,0.0,0.0,0.6266141247224941,0.1181839218527361,0.1562305752191767,0.098971378205593
,felicidad,0.9894495833721356,0.0033925193788988,0.0037638987773849,0.0033939984715805,0.9988028046742388,0.0002806556177242,0.0001174860522056,0.0007990536558313,1.0,0.0,0.0,0.0,0.947772997190587,0.01733638788067903,0.01777880047906372,0.017111814449670183
,felicidad,0.3952772310856547,0.1480412410740792,0.2299927836252129,0.2266887442150548,0.8345052194823568,0.0185913226190859,0.0513572259192203,0.095546231979337,1.0,0.0,0.0,0.0,0.4814560087729439,0.12108393446642148,0.1931348853979662,0.2043251713626684
,miedo,0.1307577581890437,0.221732173369481,0.4338499050816903,0.2136601633597848,0.0071219414336485,0.0428701551646057,0.8963039729022239,0.0537039304995216,0.0,0.0,1.0,0.0,0.0907010350560686,0.14659832072666407,0.633896459466798,0.12880418475046954
,tristeza,0.1715913296584443,0.1479705777153642,0.22505467997301,0.4553834126531802,0.0045990002291333,0.0101608047972762,0.0086847702407885,0.9765554247328015,0.0,0.0,0.0,1.0,0.08850469868864508,0.09245997227637844,0.1164918684480315,0.702543460586945
,miedo,0.1453147593825967,0.1310195464612114,0.608515387976871,0.1151503061793198,0.0129634961854016,0.0074799833435159,0.9705209390626012,0.0090355814084812,0.0,0.0,1.0,0.0,0.11606497755050334,0.13113424122407336,0.6464823946367392,0.10631838658868417
,tristeza,0.153932294716342,0.1760361411720077,0.3563760096528948,0.3136555544587563,0.0197685474070428,0.0357598221052026,0.7839168492687267,0.1605547812190278,0.0,0.0,1.0,0.0,0.12022332727456046,0.16275655341733655,0.47787226590109905,0.23914785340700406
,felicidad,0.3450157020949265,0.1914998836372277,0.3166432066410297,0.1468412076268162,0.8058828605598567,0.0313336226383231,0.155065216884281,0.007718299917539,1.0,0.0,0.0,0.0,0.379501869284322,0.1507134500880745,0.3705756146977582,0.09920906592984538
